Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
,1.0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,0.166667,0.833333,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 9,0.101852,8.14815,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,N/A
1 8,0.134259,6.86574,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,N/A
8,0.138889,6.88889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
1 8 9,0.0406379,14.4686,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,N/A
9,0.111111,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A
1 7,0.166667,5.69444,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,N/A
7,0.166667,5.83333,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A
1 7 9,0.0648148,12.088,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,1 9,N/A,N/A
1 7 8,0.0640432,11.9167,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,N/A,N/A,N/A
7 8,0.0462963,12.375,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A
1 7 8 9,0.026749,18.9456,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,1 9,N/A,N/A
8 9,0.0308642,14.6265,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A
1 6,0.189815,4.97685,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,N/A,N/A
6,0.138889,5.16667,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A
1 6 9,0.0653292,11.4486,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,N/A,N/A
1 6 8,0.0835905,10.0337,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,N/A,N/A
6 8,0.0385802,11.7855,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,N/A,N/A
1 6 8 9,0.0323645,16.801,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,N/A,N/A
6 9,0.0308642,12.9352,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,N/A,N/A,N/A
1 6 7,0.0740741,10.1157,N/A,N/A,N/A,N/A,N/A,6,7,1 7,N/A,N/A,N/A,N/A
6 7,0.0462963,10.6991,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,N/A,N/A,N/A
1 6 7 9,0.0362654,15.7046,N/A,N/A,N/A,N/A,N/A,6,7,1 7,9,1 9,N/A,N/A
1 6 7 8,0.0382587,15.6989,N/A,N/A,N/A,N/A,N/A,6,7,8,1 8,N/A,N/A,N/A
6 7 8,0.0192901,16.8356,N/A,N/A,N/A,N/A,N/A,6,7,8,N/A,N/A,N/A,N/A
1 6 7 8 9,0.0200046,21.9544,N/A,N/A,N/A,N/A,N/A,6,7,8,9,1 9,N/A,N/A
7 9,0.037037,13.537,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,N/A,N/A
7 8 9,0.0154321,19.6929,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,N/A,N/A,N/A
1 5,0.157407,4.59259,N/A,N/A,N/A,N/A,5,1 5,N/A,N/A,N/A,N/A,N/A,N/A
